Time t;Signal Gain
0.0358793;36.4119
0.0359103;36.408
0.0359413;36.4041
0.0359723;36.4003
0.0360033;36.3964
0.0360342;36.3925
0.0360652;36.3886
0.0360962;36.3847
0.0361272;36.3807
0.0361582;36.3768
0.0361892;36.3729
0.0362201;36.369
0.0362511;36.365
0.0362821;36.3611
0.0363131;36.3571
0.0363441;36.3532
0.0363751;36.3492
0.036406;36.3452
0.036437;36.3412
0.036468;36.3373
0.036499;36.3333
0.03653;36.3293
0.036561;36.3253
0.0365919;36.3213
0.0366229;36.3173
0.0366539;36.3133
0.0366849;36.3092
0.0367159;36.3052
0.0367469;36.3012
0.0367778;36.2971
0.0368088;36.2931
0.0368398;36.2891
0.0368708;36.285
0.0369018;36.2809
0.0369328;36.2769
0.0369638;36.2728
0.0369947;36.2687
0.0370257;36.2647
0.0370567;36.2606
0.0370877;36.2565
0.0371187;36.2524
0.0371497;36.2483
0.0371806;36.2442
0.0372116;36.2401
0.0372426;36.236
0.0372736;36.2318
0.0373046;36.2277
0.0373356;36.2236
0.0373665;36.2195
0.0373975;36.2153
0.0374285;36.2112
0.0374595;36.207
0.0374905;36.2029
0.0375215;36.1987
0.0375524;36.1945
0.0375834;36.1904
0.0376144;36.1862
0.0376454;36.182
0.0376764;36.1779
0.0377074;36.1737
0.0377383;36.1695
0.0377693;36.1653
0.0378003;36.1611
0.0378313;36.1569
0.0378623;36.1527
0.0378933;36.1485
0.0379243;36.1443
0.0379552;36.14
0.0379862;36.1358
0.0380172;36.1316
0.0380482;36.1274
0.0380792;36.1231
0.0381102;36.1189
0.0381411;36.1146
0.0381721;36.1104
0.0382031;36.1061
0.0382341;36.1019
0.0382651;36.0976
0.0382961;36.0934
0.038327;36.0891
0.038358;36.0848
0.038389;36.0805
0.03842;36.0763
0.038451;36.072
0.038482;36.0677
0.0385129;36.0634
0.0385439;36.0591
0.0385749;36.0548
0.0386059;36.0505
0.0386369;36.0462
0.0386679;36.0419
0.0386988;36.0376
0.0387298;36.0333
0.0387608;36.029
0.0387918;36.0246
0.0388228;36.0203
0.0388538;36.016
0.0388848;36.0116
0.0389157;36.0073
0.0389467;36.003
0.0389777;35.9986
0.0390087;35.9943
0.0390397;35.9899
0.0390707;35.9856
0.0391016;35.9812
0.0391326;35.9769
0.0391636;35.9725
0.0391946;35.9681
0.0392256;35.9638
0.0392566;35.9594
0.0392875;35.955
0.0393185;35.9507
0.0393495;35.9463
0.0393805;35.9419
0.0394115;35.9375
0.0394425;35.9331
0.0394734;35.9287
0.0395044;35.9243
0.0395354;35.9199
0.0395664;35.9156
0.0395974;35.9111
0.0396284;35.9067
0.0396593;35.9023
0.0396903;35.8979
0.0397213;35.8935
0.0397523;35.8891
0.0397833;35.8847
0.0398143;35.8803
0.0398453;35.8758
0.0398762;35.8714
0.0399072;35.867
