Time t;Z Position z_t;Signal Amplitude
2.38e-09;-0.00560488;0.309017
2.39e-09;-0.00560488;0.809017
2.4e-09;-0.00560488;1
2.41e-09;-0.00560488;0.809017
2.42e-09;-0.00560488;0.309017
2.43e-09;-0.00560488;-0.309017
2.44e-09;-0.00560488;-0.809017
2.45e-09;-0.00560488;-1
2.46e-09;-0.00560488;-0.809017
2.47e-09;-0.00560488;-0.309017
2.48e-09;-0.00560488;0.309017
2.49e-09;-0.00560488;0.809017
2.5e-09;-0.00560488;1
2.51e-09;-0.00560488;0.809017
2.52e-09;-0.00560488;0.309017
2.53e-09;-0.00560488;-0.309017
2.54e-09;-0.00560488;-0.809017
2.55e-09;-0.00560488;-1
2.56e-09;-0.00560488;-0.809017
2.57e-09;-0.00560488;-0.309017
2.58e-09;-0.00560488;0.309017
2.59e-09;-0.00560488;0.809017
2.6e-09;-0.00560488;1
2.61e-09;-0.00560488;0.809017
2.62e-09;-0.00560488;0.309017
2.63e-09;-0.00560488;-0.309017
2.64e-09;-0.00560488;-0.809017
2.65e-09;-0.00560488;-1
2.66e-09;-0.00560488;-0.809017
2.67e-09;-0.00560488;-0.309017
2.68e-09;-0.00560488;0.309017
2.69e-09;-0.00560488;0.809017
2.7e-09;-0.00560488;1
2.71e-09;-0.00560488;0.809017
2.72e-09;-0.00560488;0.309017
2.73e-09;-0.00560488;-0.309017
2.74e-09;-0.00560488;-0.809017
2.75e-09;-0.00560488;-1
2.76e-09;-0.00560488;-0.809017
2.77e-09;-0.00560488;-0.309017
2.78e-09;-0.00560488;0.309017
2.79e-09;-0.00560488;0.809017
2.8e-09;-0.00560488;1
2.81e-09;-0.00560488;0.809017
2.82e-09;-0.00560488;0.309017
2.83e-09;-0.00560488;-0.309017
2.84e-09;-0.00560488;-0.809017
2.85e-09;-0.00560488;-1
2.86e-09;-0.00560488;-0.809017
2.87e-09;-0.00560488;-0.309017
2.88e-09;-0.00560488;0.309017
2.89e-09;-0.00560488;0.809017
2.9e-09;-0.00560488;1
2.91e-09;-0.00560488;0.809017
2.92e-09;-0.00560488;0.309017
2.93e-09;-0.00560488;-0.309017
2.94e-09;-0.00560488;-0.809017
2.95e-09;-0.00560488;-1
2.96e-09;-0.00560488;-0.809017
2.97e-09;-0.00560488;-0.309017
2.98e-09;-0.00560488;0.309017
2.99e-09;-0.00560488;0.809017
3e-09;-0.00560488;1
3.01e-09;-0.00560488;0.809017
3.02e-09;-0.00560488;0.309017
3.03e-09;-0.00560488;-0.309017
3.04e-09;-0.00560488;-0.809017
3.05e-09;-0.00560488;-1
3.06e-09;-0.00560488;-0.809017
3.07e-09;-0.00560488;-0.309017
3.08e-09;-0.00560488;0.309017
3.09e-09;-0.00560488;0.809017
3.1e-09;-0.00560488;1
3.11e-09;-0.00560488;0.809017
3.12e-09;-0.00560488;0.309017
3.13e-09;-0.00560488;-0.309017
3.14e-09;-0.00560488;-0.809017
3.15e-09;-0.00560488;-1
3.16e-09;-0.00560488;-0.809017
3.17e-09;-0.00560488;-0.309017
3.18e-09;-0.00560488;0.309017
3.19e-09;-0.00560488;0.809017
3.2e-09;-0.00560488;1
3.21e-09;-0.00560488;0.809017
3.22e-09;-0.00560488;0.309017
3.23e-09;-0.00560488;-0.309017
3.24e-09;-0.00560488;-0.809017
3.25e-09;-0.00560488;-1
3.26e-09;-0.00560488;-0.809017
3.27e-09;-0.00560488;-0.309017
3.28e-09;-0.00560488;0.309017
3.29e-09;-0.00560488;0.809017
3.3e-09;-0.00560488;1
3.31e-09;-0.00560488;0.809017
3.32e-09;-0.00560488;0.309017
3.33e-09;-0.00560488;-0.309017
3.34e-09;-0.00560488;-0.809017
3.35e-09;-0.00560488;-1
3.36e-09;-0.00560488;-0.809017
3.37e-09;-0.00560488;-0.309017
3.38e-09;-0.00560488;0.309017
3.39e-09;-0.00560488;0.809017
3.4e-09;-0.00560488;1
3.41e-09;-0.00560488;0.809017
3.42e-09;-0.00560488;0.309017
3.43e-09;-0.00560488;-0.309017
3.44e-09;-0.00560488;-0.809017
3.45e-09;-0.00560488;-1
3.46e-09;-0.00560488;-0.809017
3.47e-09;-0.00560488;-0.309017
3.48e-09;-0.00560488;0.309017
3.49e-09;-0.00560488;0.809017
3.5e-09;-0.00560488;1
3.51e-09;-0.00560488;0.809017
3.52e-09;-0.00560488;0.309017
3.53e-09;-0.00560488;-0.309017
3.54e-09;-0.00560488;-0.809017
3.55e-09;-0.00560488;-1
3.56e-09;-0.00560488;-0.809017
3.57e-09;-0.00560488;-0.309017
3.58e-09;-0.00560488;0.309017
3.59e-09;-0.00560488;0.809017
3.6e-09;-0.00560488;1
3.61e-09;-0.00560488;0.809017
3.62e-09;-0.00560488;0.309017
3.63e-09;-0.00560488;-0.309017
3.64e-09;-0.00560488;-0.809017
3.65e-09;-0.00560488;-1
3.66e-09;-0.00560488;-0.809017
3.67e-09;-0.00560488;-0.309017
3.68e-09;-0.00560488;0.309017
3.69e-09;-0.00560488;0.809017
3.7e-09;-0.00560488;1
3.71e-09;-0.00560488;0.809017
3.72e-09;-0.00560488;0.309017
3.73e-09;-0.00560488;-0.309017
3.74e-09;-0.00560488;-0.809017
3.75e-09;-0.00560488;-1
3.76e-09;-0.00560488;-0.809017
3.77e-09;-0.00560488;-0.309017
3.78e-09;-0.00560488;0.309017
3.79e-09;-0.00560488;0.809017
3.8e-09;-0.00560488;1
3.81e-09;-0.00560488;0.809017
3.82e-09;-0.00560488;0.309017
3.83e-09;-0.00560488;-0.309017
3.84e-09;-0.00560488;-0.809017
3.85e-09;-0.00560488;-1
3.86e-09;-0.00560488;-0.809017
3.87e-09;-0.00560488;-0.309017
3.88e-09;-0.00560488;0.309017
3.89e-09;-0.00560488;0.809017
3.9e-09;-0.00560488;1
3.91e-09;-0.00560488;0.809017
3.92e-09;-0.00560488;0.309017
3.93e-09;-0.00560488;-0.309017
3.94e-09;-0.00560488;-0.809017
3.95e-09;-0.00560488;-1
3.96e-09;-0.00560488;-0.809017
3.97e-09;-0.00560488;-0.309017
3.98e-09;-0.00560488;0.309017
3.99e-09;-0.00560488;0.809017
4e-09;-0.00560488;1
4.01e-09;-0.00560488;0.809017
4.02e-09;-0.00560488;0.309017
4.03e-09;-0.00560488;-0.309017
4.04e-09;-0.00560488;-0.809017
4.05e-09;-0.00560488;-1
4.06e-09;-0.00560488;-0.809017
4.07e-09;-0.00560488;-0.309017
4.08e-09;-0.00560488;0.309017
4.09e-09;-0.00560488;0.809017
4.1e-09;-0.00560488;1
4.11e-09;-0.00560488;0.809017
