Time t;Z Position z_t;Signal Gain
3.16e-09;-0.00560488;149.988
3.17e-09;-0.00560488;149.988
3.18e-09;-0.00560488;149.988
3.19e-09;-0.00560488;149.988
3.2e-09;-0.00560488;149.988
3.21e-09;-0.00560488;149.988
3.22e-09;-0.00560488;149.988
3.23e-09;-0.00560488;149.988
3.24e-09;-0.00560488;149.988
3.25e-09;-0.00560488;149.988
3.26e-09;-0.00560488;149.988
3.27e-09;-0.00560488;149.988
3.28e-09;-0.00560488;149.988
3.29e-09;-0.00560488;149.988
3.3e-09;-0.00560488;149.988
3.31e-09;-0.00560488;149.988
3.32e-09;-0.00560488;149.988
3.33e-09;-0.00560488;149.988
3.34e-09;-0.00560488;149.988
3.35e-09;-0.00560488;149.988
3.36e-09;-0.00560488;149.988
3.37e-09;-0.00560488;149.988
3.38e-09;-0.00560488;149.988
3.39e-09;-0.00560488;149.988
3.4e-09;-0.00560488;149.988
3.41e-09;-0.00560488;149.988
3.42e-09;-0.00560488;149.988
3.43e-09;-0.00560488;149.988
3.44e-09;-0.00560488;149.988
3.45e-09;-0.00560488;149.988
3.46e-09;-0.00560488;149.988
3.47e-09;-0.00560488;149.988
3.48e-09;-0.00560488;149.988
3.49e-09;-0.00560488;149.988
3.5e-09;-0.00560488;149.988
3.51e-09;-0.00560488;149.988
3.52e-09;-0.00560488;149.988
3.53e-09;-0.00560488;149.988
3.54e-09;-0.00560488;149.988
3.55e-09;-0.00560488;149.988
3.56e-09;-0.00560488;149.988
3.57e-09;-0.00560488;149.988
3.58e-09;-0.00560488;149.988
3.59e-09;-0.00560488;149.988
3.6e-09;-0.00560488;149.988
3.61e-09;-0.00560488;149.988
3.62e-09;-0.00560488;149.988
3.63e-09;-0.00560488;149.988
3.64e-09;-0.00560488;149.988
3.65e-09;-0.00560488;149.988
3.66e-09;-0.00560488;149.988
3.67e-09;-0.00560488;149.988
3.68e-09;-0.00560488;149.988
3.69e-09;-0.00560488;149.988
3.7e-09;-0.00560488;149.988
3.71e-09;-0.00560488;149.988
3.72e-09;-0.00560488;149.988
3.73e-09;-0.00560488;149.988
3.74e-09;-0.00560488;149.988
3.75e-09;-0.00560488;149.988
3.76e-09;-0.00560488;149.988
3.77e-09;-0.00560488;149.988
3.78e-09;-0.00560488;149.988
3.79e-09;-0.00560488;149.988
3.8e-09;-0.00560488;149.988
3.81e-09;-0.00560488;149.988
3.82e-09;-0.00560488;149.988
3.83e-09;-0.00560488;149.988
3.84e-09;-0.00560488;149.988
3.85e-09;-0.00560488;149.988
3.86e-09;-0.00560488;149.988
3.87e-09;-0.00560488;149.988
3.88e-09;-0.00560488;149.988
3.89e-09;-0.00560488;149.988
3.9e-09;-0.00560488;149.988
3.91e-09;-0.00560488;149.988
3.92e-09;-0.00560488;149.988
3.93e-09;-0.00560488;149.988
3.94e-09;-0.00560488;149.988
3.95e-09;-0.00560488;149.988
3.96e-09;-0.00560488;149.988
3.97e-09;-0.00560488;149.988
3.98e-09;-0.00560488;149.988
3.99e-09;-0.00560488;149.988
4e-09;-0.00560488;149.988
4.01e-09;-0.00560488;149.988
4.02e-09;-0.00560488;149.988
4.03e-09;-0.00560488;149.988
4.04e-09;-0.00560488;149.988
4.05e-09;-0.00560488;149.988
4.06e-09;-0.00560488;149.988
4.07e-09;-0.00560488;149.988
4.08e-09;-0.00560488;149.988
4.09e-09;-0.00560488;149.988
4.1e-09;-0.00560488;149.988
4.11e-09;-0.00560488;149.988
4.12e-09;-0.00560488;149.988
