Time t;Signal Amplitude
0.0966697;0.512707
0.0967006;0.596957
0.0967316;0.675078
0.0967626;0.746269
0.0967936;0.809798
0.0968246;0.865013
0.0968556;0.911347
0.0968866;0.948324
0.0969175;0.975565
0.0969485;0.992791
0.0969795;0.999824
0.0970105;0.996592
0.0970415;0.983128
0.0970725;0.959571
0.0971034;0.926162
0.0971344;0.883244
0.0971654;0.831259
0.0971964;0.770739
0.0972274;0.702306
0.0972584;0.626663
0.0972893;0.544587
0.0973203;0.456919
0.0973513;0.36456
0.0973823;0.268458
0.0974133;0.1696
0.0974443;0.069001
0.0974752;-0.0323066
0.0975062;-0.133283
0.0975372;-0.23289
0.0975682;-0.330107
0.0975992;-0.423934
0.0976302;-0.513409
0.0976611;-0.597613
0.0976921;-0.675682
0.0977231;-0.746813
0.0977541;-0.810277
0.0977851;-0.865422
0.0978161;-0.911683
0.0978471;-0.948583
0.097878;-0.975745
0.097909;-0.992888
0.09794;-0.999839
0.097971;-0.996524
0.098002;-0.982978
0.098033;-0.95934
0.0980639;-0.925853
0.0980949;-0.882861
0.0981259;-0.830804
0.0981569;-0.770218
0.0981879;-0.701724
0.0982189;-0.626026
0.0982498;-0.543901
0.0982808;-0.456191
0.0983118;-0.363798
0.0983428;-0.26767
0.0983738;-0.168794
0.0984048;-0.0681852
0.0984357;0.0331239
0.0984667;0.134093
0.0984977;0.233685
0.0985287;0.330878
0.0985597;0.424674
0.0985907;0.514111
0.0986216;0.598268
0.0986526;0.676284
0.0986836;0.747357
0.0987146;0.810756
0.0987456;0.865832
0.0987766;0.912018
0.0988076;0.948842
0.0988385;0.975923
0.0988695;0.992986
0.0989005;0.999853
0.0989315;0.996455
0.0989625;0.982827
0.0989935;0.959109
0.0990244;0.925544
0.0990554;0.882476
0.0990864;0.830349
0.0991174;0.769696
0.0991484;0.701141
0.0991794;0.625388
0.0992103;0.543214
0.0992413;0.455463
0.0992723;0.363037
0.0993033;0.266882
0.0993343;0.167988
0.0993653;0.0673694
0.0993962;-0.0339411
0.0994272;-0.134903
0.0994582;-0.23448
0.0994892;-0.33165
0.0995202;-0.425415
0.0995512;-0.514812
0.0995821;-0.598923
0.0996131;-0.676886
0.0996441;-0.7479
0.0996751;-0.811235
0.0997061;-0.866241
0.0997371;-0.912354
0.0997681;-0.9491
0.099799;-0.976101
0.09983;-0.993082
0.099861;-0.999867
0.099892;-0.996386
0.099923;-0.982676
0.099954;-0.958877
0.0999849;-0.925234
0.100016;-0.882091
0.100047;-0.829893
0.100078;-0.769174
0.100109;-0.700558
0.10014;-0.62475
0.100171;-0.542528
0.100202;-0.454735
0.100233;-0.362274
0.100264;-0.266094
0.100295;-0.167182
0.100326;-0.0665535
0.100357;0.0347583
0.100388;0.135713
0.100419;0.235275
0.10045;0.332421
0.100481;0.426154
0.100512;0.515513
0.100543;0.599578
0.100574;0.677488
0.100605;0.748442
0.100636;0.811712
0.100667;0.866649
0.100698;0.912688
0.100729;0.949357
0.10076;0.976279
0.100791;0.993178
0.100822;0.99988
0.100852;0.996316
0.100883;0.982524
0.100914;0.958645
0.100945;0.924923
0.100976;0.881706
0.101007;0.829436
0.101038;0.768651
0.101069;0.699974
0.1011;0.624111
0.101131;0.541841
0.101162;0.454007
0.101193;0.361512
0.101224;0.265306
0.101255;0.166376
0.101286;0.0657376
0.101317;-0.0355755
0.101348;-0.136523
0.101379;-0.23607
0.10141;-0.333192
0.101441;-0.426894
0.101472;-0.516213
0.101503;-0.600232
0.101534;-0.678089
0.101565;-0.748984
0.101596;-0.81219
0.101627;-0.867057
0.101658;-0.913022
0.101689;-0.949613
0.10172;-0.976455
0.101751;-0.993273
0.101782;-0.999892
0.101813;-0.996246
0.101844;-0.982372
0.101875;-0.958412
0.101906;-0.924612
0.101937;-0.88132
0.101968;-0.828979
0.101999;-0.768128
0.10203;-0.69939
0.102061;-0.623472
0.102092;-0.541153
0.102123;-0.453278
0.102154;-0.36075
0.102185;-0.264517
0.102216;-0.165569
0.102247;-0.0649217
0.102278;0.0363927
0.102309;0.137333
0.10234;0.236864
0.102371;0.333963
0.102402;0.427633
0.102433;0.516913
0.102464;0.600886
0.102495;0.67869
0.102526;0.749526
0.102557;0.812666
0.102588;0.867464
0.102619;0.913355
0.10265;0.949869
0.102681;0.976632
0.102712;0.993367
0.102743;0.999904
0.102773;0.996175
0.102804;0.982219
0.102835;0.958178
0.102866;0.9243
0.102897;0.880933
0.102928;0.828522
0.102959;0.767604
0.10299;0.698805
0.103021;0.622833
0.103052;0.540465
0.103083;0.452549
0.103114;0.359987
0.103145;0.263729
0.103176;0.164763
0.103207;0.0641057
0.103238;-0.0372098
0.103269;-0.138143
0.1033;-0.237658
0.103331;-0.334734
0.103362;-0.428372
0.103393;-0.517613
0.103424;-0.601539
0.103455;-0.67929
0.103486;-0.750067
0.103517;-0.813143
0.103548;-0.86787
0.103579;-0.913688
0.10361;-0.950125
0.103641;-0.976807
0.103672;-0.993461
0.103703;-0.999915
0.103734;-0.996103
0.103765;-0.982065
0.103796;-0.957944
0.103827;-0.923988
0.103858;-0.880546
0.103889;-0.828063
0.10392;-0.76708
0.103951;-0.69822
0.103982;-0.622193
0.104013;-0.539777
0.104044;-0.45182
0.104075;-0.359224
0.104106;-0.26294
0.104137;-0.163956
0.104168;-0.0632896
0.104199;0.0380269
0.10423;0.138953
0.104261;0.238453
0.104292;0.335504
0.104323;0.429111
0.104354;0.518312
0.104385;0.602193
0.104416;0.67989
0.104447;0.750607
0.104478;0.813618
0.104509;0.868276
0.10454;0.91402
0.104571;0.950379
0.104602;0.976982
0.104633;0.993554
0.104664;0.999925
0.104694;0.996031
0.104725;0.98191
0.104756;0.957709
0.104787;0.923675
0.104818;0.880158
0.104849;0.827605
0.10488;0.766555
0.104911;0.697635
0.104942;0.621552
0.104973;0.539089
0.105004;0.45109
0.105035;0.358461
0.105066;0.262151
0.105097;0.16315
0.105128;0.0624736
0.105159;-0.038844
0.10519;-0.139763
0.105221;-0.239247
0.105252;-0.336274
0.105283;-0.42985
0.105314;-0.519012
0.105345;0.602845
